loss_pct,latency_ms,run,success,degraded,selected_kem,condition_code,probe_rtt_ms,total_ms,rtt_ms,msg1_bytes,msg2_bytes,error
5,100,2,True,False,ML-KEM-512,MEDIUM,106.9635000000062,579.37,439.68,2094,1604,
5,100,3,True,False,ML-KEM-512,MEDIUM,108.17990500004271,572.14,435.32,2094,1604,
5,100,4,True,False,ML-KEM-512,MEDIUM,107.45036500009064,625.83,457.2,2094,1604,
5,100,5,True,False,ML-KEM-512,MEDIUM,110.35097800004223,593.03,452.38,2094,1604,
10,100,1,True,False,ML-KEM-512,MEDIUM,108.82242999991831,578.98,435.84,2094,1604,
10,100,2,True,False,ML-KEM-512,MEDIUM,106.32953399999678,582.25,446.21,2094,1604,
10,100,3,True,False,ML-KEM-512,MEDIUM,106.62840100007998,579.99,435.45,2094,1604,
10,100,4,True,False,ML-KEM-512,MEDIUM,109.76455699994858,577.36,440.46,2094,1604,
10,100,5,True,False,ML-KEM-512,MEDIUM,105.15704099998402,587.01,448.78,2094,1604,
20,100,1,True,True,ML-KEM-512,MEDIUM,108.87845800004925,6302.8,3419.72,2094,1604,
20,100,2,True,False,ML-KEM-512,MEDIUM,113.94322000001011,599.22,455.13,2094,1604,
20,100,3,True,False,ML-KEM-512,MEDIUM,118.00742800005537,963.0,686.15,2094,1604,
20,100,4,True,True,ML-KEM-512,MEDIUM,104.38467599999512,3477.42,3338.57,2094,1604,
20,100,5,True,False,ML-KEM-512,MEDIUM,110.5595409999296,572.41,431.32,2094,1604,
30,100,1,True,True,ML-KEM-512,MEDIUM,108.39885999996568,2798.0,2651.11,2094,1604,
30,100,2,True,True,ML-KEM-512,MEDIUM,110.08961200002432,2903.96,2768.79,2094,1604,
30,100,3,True,True,ML-KEM-512,MEDIUM,106.76993699996729,21113.21,20971.42,2094,1604,
30,100,4,True,True,ML-KEM-512,MEDIUM,107.87452399995345,5972.04,3424.83,2094,1604,
30,100,5,True,True,ML-KEM-512,MEDIUM,103.31962300006126,3244.91,439.47,2094,1604,
0,150,1,True,False,ECDH-P256,POOR,159.09655699999803,642.9,464.39,2094,161,
0,150,2,True,False,ECDH-P256,POOR,158.41146399998252,642.46,466.11,2094,161,
0,150,3,True,False,ECDH-P256,POOR,160.35430600004474,642.57,463.78,2094,161,
0,150,4,True,False,ECDH-P256,POOR,156.21684099994582,655.31,471.07,2094,161,
0,150,5,True,False,ECDH-P256,POOR,155.83682999999837,652.04,473.22,2094,161,
5,150,1,True,False,ECDH-P256,POOR,157.96694200003003,643.02,473.12,2094,161,
5,150,2,True,False,ECDH-P256,POOR,157.2526290000269,643.4,471.3,2094,161,
5,150,3,True,False,ECDH-P256,POOR,157.75502700000743,652.07,473.4,2094,161,
5,150,4,True,False,ECDH-P256,POOR,159.89896900009626,669.28,491.62,2094,161,
5,150,5,True,False,ECDH-P256,POOR,157.59213599994837,651.39,474.32,2094,161,
10,150,1,True,False,ECDH-P256,POOR,155.22108800007572,638.78,458.67,2094,161,
10,150,2,True,False,ECDH-P256,POOR,159.89163599999756,646.96,468.91,2094,161,
10,150,3,True,False,ECDH-P256,POOR,156.46475399989868,654.22,475.98,2094,161,
10,150,4,True,False,ECDH-P256,POOR,154.34302299991032,643.6,473.55,2094,161,
10,150,5,True,False,ECDH-P256,POOR,159.20462199994745,638.89,462.71,2094,161,
20,150,1,True,False,ECDH-P256,POOR,158.1709710000041,646.48,470.57,2094,161,
20,150,2,True,False,ECDH-P256,POOR,159.3388619999132,640.88,465.59,2094,161,
20,150,3,True,False,ECDH-P256,POOR,156.80376099999194,638.68,463.43,2094,161,
20,150,4,True,True,ECDH-P256,POOR,157.89592200007974,3006.51,521.5,2094,161,
20,150,5,True,False,ECDH-P256,POOR,156.69930799992926,649.88,473.48,2094,161,
30,150,1,True,False,ECDH-P256,POOR,1577.7993780000088,654.76,473.69,2094,161,
30,150,2,True,False,ECDH-P256,POOR,158.48309700004393,648.16,470.13,2094,161,
30,150,3,True,True,ECDH-P256,POOR,156.54671699996925,3301.94,462.4,2094,161,
30,150,4,True,True,ECDH-P256,POOR,158.93221500004984,5603.71,5322.82,2094,161,
30,150,5,True,True,ECDH-P256,POOR,157.8050240000266,2844.04,463.34,2094,161,
