loss_pct,latency_ms,kem,run,success,degraded,total_ms,rtt_ms,msg1_bytes,msg2_bytes,error
30,10,ECDH-P256,3,True,False,26.75,13.26,75,156,
30,10,ECDH-P256,4,True,False,42.74,22.88,75,156,
30,10,ECDH-P256,5,True,False,34.13,13.28,75,156,
30,10,ML-KEM-512,1,True,False,80.31,47.37,813,1597,
30,10,ML-KEM-512,2,True,True,4871.08,2388.09,813,1597,
30,10,ML-KEM-512,3,True,False,81.13,45.39,813,1597,
30,10,ML-KEM-512,4,True,False,71.15,40.01,813,1597,
30,10,ML-KEM-512,5,True,True,14624.4,14588.58,813,1597,
30,10,ML-KEM-768,1,True,True,5271.98,2531.05,1197,2301,
30,10,ML-KEM-768,2,True,True,5456.1,5402.95,1197,2301,
30,10,ML-KEM-768,3,True,False,118.01,69.79,1197,2301,
30,10,ML-KEM-768,4,True,True,6720.8,6674.46,1197,2301,
30,10,ML-KEM-768,5,True,True,2734.92,2685.61,1197,2301,
30,10,ML-KEM-1024,1,True,True,26638.82,26581.66,1581,3165,
30,10,ML-KEM-1024,2,True,True,34218.96,27745.06,1581,3165,
30,10,ML-KEM-1024,3,True,False,168.28,109.8,1581,3165,
30,10,ML-KEM-1024,4,True,True,28453.96,28389.89,1581,3165,
30,10,ML-KEM-1024,5,True,True,5173.98,2125.1,1581,3165,
0,50,ECDH-P256,1,True,False,107.79,55.97,75,156,
0,50,ECDH-P256,2,True,False,118.7,62.97,75,156,
0,50,ECDH-P256,3,True,False,122.39,59.84,75,156,
0,50,ECDH-P256,4,True,False,123.42,62.87,75,156,
0,50,ECDH-P256,5,True,False,121.18,60.29,75,156,
0,50,ML-KEM-512,1,True,False,274.75,124.93,813,1597,
0,50,ML-KEM-512,2,True,False,413.61,281.91,813,1597,
0,50,ML-KEM-512,3,True,False,213.21,136.65,813,1597,
0,50,ML-KEM-512,4,True,False,211.51,127.72,813,1597,
0,50,ML-KEM-512,5,True,False,205.98,128.54,813,1597,
0,50,ML-KEM-768,1,True,False,338.32,250.42,1197,2301,
0,50,ML-KEM-768,2,True,False,335.48,246.08,1197,2301,
0,50,ML-KEM-768,3,True,False,339.65,253.44,1197,2301,
0,50,ML-KEM-768,4,True,False,331.5,245.31,1197,2301,
0,50,ML-KEM-768,5,True,False,323.79,240.52,1197,2301,
0,50,ML-KEM-1024,1,True,False,403.51,300.9,1581,3165,
0,50,ML-KEM-1024,2,True,False,411.77,308.83,1581,3165,
0,50,ML-KEM-1024,3,True,False,411.25,308.81,1581,3165,
0,50,ML-KEM-1024,4,True,False,404.27,307.58,1581,3165,
0,50,ML-KEM-1024,5,True,False,406.15,304.24,1581,3165,
5,50,ECDH-P256,1,True,False,123.83,59.92,75,156,
5,50,ECDH-P256,2,True,False,114.07,58.45,75,156,
5,50,ECDH-P256,3,True,False,121.91,64.61,75,156,
5,50,ECDH-P256,4,True,False,123.19,63.18,75,156,
5,50,ECDH-P256,5,True,False,116.77,57.28,75,156,
5,50,ML-KEM-512,1,True,False,209.76,131.97,813,1597,
5,50,ML-KEM-512,2,True,False,201.22,121.28,813,1597,
5,50,ML-KEM-512,3,True,False,200.66,123.89,813,1597,
5,50,ML-KEM-512,4,True,False,205.05,131.94,813,1597,
5,50,ML-KEM-512,5,True,False,197.1,119.97,813,1597,
5,50,ML-KEM-768,1,True,False,316.16,233.0,1197,2301,
5,50,ML-KEM-768,2,True,False,337.41,245.84,1197,2301,
5,50,ML-KEM-768,3,True,False,339.47,248.46,1197,2301,
5,50,ML-KEM-768,4,True,False,326.92,245.63,1197,2301,
5,50,ML-KEM-768,5,True,False,340.78,253.41,1197,2301,
5,50,ML-KEM-1024,1,True,False,409.11,308.97,1581,3165,
5,50,ML-KEM-1024,2,True,False,404.05,305.36,1581,3165,
5,50,ML-KEM-1024,3,True,False,411.71,310.61,1581,3165,
5,50,ML-KEM-1024,4,True,False,406.02,306.27,1581,3165,
5,50,ML-KEM-1024,5,True,False,403.28,307.13,1581,3165,
10,50,ECDH-P256,1,True,False,120.89,63.26,75,156,
10,50,ECDH-P256,2,True,False,112.75,58.81,75,156,
10,50,ECDH-P256,3,True,False,116.58,58.71,75,156,
10,50,ECDH-P256,4,True,True,2737.25,62.2,75,156,
10,50,ECDH-P256,5,True,False,126.48,64.43,75,156,
10,50,ML-KEM-512,1,True,False,192.16,127.08,813,1597,
10,50,ML-KEM-512,2,True,False,211.2,123.82,813,1597,
10,50,ML-KEM-512,3,True,False,206.86,129.69,813,1597,
10,50,ML-KEM-512,4,True,False,210.83,126.73,813,1597,
10,50,ML-KEM-512,5,True,False,206.71,131.12,813,1597,
10,50,ML-KEM-768,1,True,False,327.92,244.26,1197,2301,
10,50,ML-KEM-768,2,True,False,338.3,251.55,1197,2301,
10,50,ML-KEM-768,3,True,False,342.1,247.49,1197,2301,
10,50,ML-KEM-768,4,True,True,2795.81,2698.35,1197,2301,
